date,time,grid,trap,l_ear,r_ear,sex,age,weight,hindft,notes,b_key,session_id,study
11/26/98,NA,bonrip,1a,414d096a08,NA,NA,NA,1370,160,NA,917,51,population
11/26/98,NA,bonrip,2c,414d320671,NA,m,NA,1430,NA,NA,936,51,population
11/26/98,NA,bonrip,2d,414d103e3a,NA,m,NA,1430,NA,NA,921,51,population
11/26/98,NA,bonrip,2e,414d262d43,NA,NA,NA,1490,135,NA,931,51,population
11/26/98,NA,bonrip,3b,414d2b4b58,NA,NA,NA,1710,150,NA,933,51,population
11/26/98,NA,bonrip,3d,414d193011,NA,f,NA,1890,145,NA,926,51,population
11/26/98,NA,bonrip,4a,414d0f5b3d,NA,NA,NA,2170,140,NA,920,51,population
11/26/98,NA,bonrip,4b,414d12350c,NA,NA,NA,2170,NA,NA,923,51,population
11/26/98,NA,bonrip,4c,414d197c34,NA,m,NA,1510,134,NA,927,51,population
11/26/98,NA,bonrip,4e,414d1d0559,NA,m,NA,1590,NA,NA,928,51,population
11/26/98,NA,bonrip,5a,414d1e3557,NA,NA,NA,1830,NA,NA,929,51,population
11/26/98,NA,bonrip,5c,414d0e236b,NA,m,NA,1710,NA,NA,919,51,population
11/26/98,NA,bonrip,5d,414d310e44,NA,NA,NA,1780,NA,NA,935,51,population
11/26/98,NA,bonrip,5e,414d2e6226,NA,f,NA,1730,135,NA,934,51,population
11/27/98,NA,bonrip,10c,410912535d,NA,m,NA,1670,145,NA,881,51,population
11/27/98,NA,bonrip,1c,414d182b2a,NA,f,NA,1990,NA,NA,925,51,population
11/27/98,NA,bonrip,1e,414d363f65,NA,m,NA,1870,NA,NA,937,51,population
11/27/98,NA,bonrip,2a,414d171b7f,NA,f,NA,1650,145,NA,924,51,population
11/27/98,NA,bonrip,2b,414d320671,NA,m,NA,NA,NA,NA,936,51,population
11/27/98,NA,bonrip,2c,414d231059,NA,m,NA,1670,NA,NA,930,51,population
11/27/98,NA,bonrip,2e,414d0b2c38,NA,f,NA,1830,125,NA,918,51,population
11/27/98,NA,bonrip,3b,414d2a247d,NA,m,NA,NA,NA,NA,932,51,population
11/27/98,NA,bonrip,3c,414d114458,NA,m,NA,NA,134,NA,922,51,population
11/27/98,NA,bonrip,3e,414d193011,NA,f,NA,NA,133,NA,926,51,population
11/27/98,NA,bonrip,4b,410916792d,NA,f,NA,NA,NA,NA,884,51,population
11/27/98,NA,bonrip,4c,4109156d37,NA,f,NA,1670,NA,NA,883,51,population
11/27/98,NA,bonrip,4e,414d2e6226,NA,f,NA,NA,NA,NA,934,51,population
11/27/98,NA,bonrip,5b,4109285a73,NA,f,NA,1770,145,NA,894,51,population
11/27/98,NA,bonrip,5c,41090f5e01,NA,m,NA,1690,NA,NA,878,51,population
11/27/98,NA,bonrip,6a,41093a0623,NA,f,NA,NA,NA,NA,900,51,population
11/27/98,NA,bonrip,6b,4109350e4d,NA,f,NA,1640,137,NA,899,51,population
11/27/98,NA,bonrip,6c,4109264b12,NA,m,NA,1750,130,NA,891,51,population
11/27/98,NA,bonrip,7b,4109297f5d,NA,f,NA,NA,NA,NA,895,51,population
11/27/98,NA,bonrip,7c,41091a5978,NA,m,NA,1690,146,NA,886,51,population
11/27/98,NA,bonrip,7e,4109276054,NA,m,NA,1720,NA,NA,892,51,population
11/27/98,NA,bonrip,8a,4109343929,NA,m,NA,1510,NA,NA,898,51,population
11/27/98,NA,bonrip,8b,41091c6706,NA,f,NA,NA,NA,NA,887,51,population
11/27/98,NA,bonrip,8e,41092a5a14,NA,m,NA,1620,NA,NA,896,51,population
11/27/98,NA,bonrip,9a,4109101c08,NA,f,NA,1790,145,NA,880,51,population
11/27/98,NA,bonrip,9d,4109257c11,NA,m,NA,1770,NA,NA,890,51,population
11/28/98,NA,bonrip,1c,4109250570,NA,m,NA,1870,NA,NA,888,51,population
11/28/98,NA,bonrip,1d,414d103e3a,NA,m,NA,1370,NA,NA,921,51,population
11/28/98,NA,bonrip,1e,414d0b2c38,NA,f,NA,NA,130,NA,918,51,population
11/28/98,NA,bonrip,2b,414d1e3557,NA,f,NA,1670,NA,NA,929,51,population
11/28/98,NA,bonrip,2c,4109152f7a,NA,f,NA,1470,NA,NA,882,51,population
11/28/98,NA,bonrip,3d,414d197c34,NA,m,NA,NA,NA,NA,927,51,population
11/28/98,NA,bonrip,3e,414d1d0559,NA,m,NA,NA,153,NA,928,51,population
11/28/98,NA,bonrip,4b,414d2e6226,NA,f,NA,NA,150,NA,934,51,population
11/28/98,NA,bonrip,5a,4109187f32,NA,f,NA,1770,120,NA,885,51,population
11/28/98,NA,bonrip,5d,414d0e236b,NA,m,NA,NA,NA,NA,919,51,population
11/28/98,NA,bonrip,6a,41090f6220,NA,m,NA,1770,90,NA,879,51,population
11/28/98,NA,bonrip,6b,4109285a73,NA,f,NA,NA,85,NA,894,51,population
11/28/98,NA,bonrip,6e,4109282708,NA,f,NA,1770,NA,NA,893,51,population
11/28/98,NA,bonrip,7c,41091c6706,NA,f,NA,NA,89,NA,887,51,population
11/28/98,NA,bonrip,7d,4109276054,NA,m,NA,NA,98,NA,892,51,population
11/28/98,NA,bonrip,8a,4109253d4b,NA,f,NA,1670,95,NA,889,51,population
11/28/98,NA,bonrip,8c,4109297f5d,NA,f,NA,NA,99,NA,895,51,population
11/28/98,NA,bonrip,8d,41092a5a14,NA,m,NA,NA,84,NA,896,51,population
